id,price,address,bed,bath,type
202,2000,6.5,1,1,Apartment
203,2325,6.5,2,2,Apartment
204,3000,6.5,3,2,Apartment
205,1900,18,1,1,Apartment
206,2450,18,2,2,Apartment
207,3000,2,2,2,Apartment
208,6000,2,3,3,Apartment
209,3200,18,3,2,Apartment
210,2150,6,1,1,Apartment
211,2700,6,2,2,Apartment
212,2050,8,1,1,Apartment
213,3650,2,2,2,Apartment
214,3750,2,2,2,Apartment
215,2750,19,2,2,Apartment
216,3300,2,2,2,Apartment
217,4200,2,2,2,Apartment
218,4230,2,3,2,Apartment
219,2500,1,1,1,Apartment
220,3245,1,2,2,Apartment
221,3575,1,2,2,Apartment
222,2000,19,1,1,Apartment
223,2335,19,2,2,Apartment
224,2850,19,3,2,Apartment
225,1900,9,1,1,Apartment
226,2250,9,2,2,Apartment
227,3045,9,3,3,Apartment
228,2000,6,1,1,Apartment
229,2400,6,2,2,Apartment
230,3200,6,3,2,Apartment
231,2450,2,1,1,Apartment
232,2900,2,2,2,Apartment
233,3900,2,3,2,Apartment
234,3150,2,2,2,Apartment
235,3572,2,2,2,Apartment
236,4000,2,2,2,Apartment
237,2050,15,2,2,House
238,2350,15,3,3,House
239,2500,15,4,3,House
240,1750,8,1,1,Apartment
241,2450,2,1,1,Apartment
242,1750,18,1,2,Apartment
243,2150,18,2,2,Apartment
244,3250,5,3,2,House
245,2000,6.5,1,1,Apartment
246,2325,6.5,2,2,Apartment
247,3000,6.5,3,2,Apartment
248,1900,18,1,1,Apartment
249,2450,18,2,2,Apartment
250,3000,2,2,2,Apartment
251,6000,2,3,3,Apartment
252,3200,18,3,2,Apartment
253,2150,6,1,1,Apartment
254,2700,6,2,2,Apartment
255,2050,8,1,1,Apartment
256,3650,2,2,2,Apartment
257,3750,2,2,2,Apartment
258,2750,19,2,2,Apartment
259,3300,2,2,2,Apartment
260,4200,2,2,2,Apartment
261,4230,2,3,2,Apartment
262,2500,1,1,1,Apartment
263,3245,1,2,2,Apartment
264,3575,1,2,2,Apartment
265,2000,19,1,1,Apartment
266,2335,19,2,2,Apartment
267,2850,19,3,2,Apartment
268,1900,9,1,1,Apartment
269,2250,9,2,2,Apartment
270,3045,9,3,3,Apartment
271,2000,6,1,1,Apartment
272,2400,6,2,2,Apartment
273,3200,6,3,2,Apartment
274,3150,2,2,2,Apartment
275,3572,2,2,2,Apartment
276,4000,2,2,2,Apartment
277,2450,2,1,1,Apartment
278,2900,2,2,2,Apartment
