id,price,address,bedroom,bathroom,area
63,"€595,000","Rere of 3, Charlemont Terrace, Dun Laoghaire, Co. Dublin",92 m²,1 Bath,107 m²
64,"€495,000","22 Main Road, Tallaght, Tallaght, Dublin 24",3 Bed,2 Bath,152 m²
65,"€750,000","90 Castleknock Park, Castleknock, Dublin 15",1 Bath,3 Bath,132 m²
66,"4 Bedroom Homes, 2 Bedroom Apartments &amp; Penthouses Launching in September","Yellowood, 18A Stillorgan Park Avenue, Blackrock, Co. Dublin",144 m²,4 Bath,232 m²
67,"€1,450,000","Penthouse 72, Woodview, Blackrock, Co. Dublin",3 Bed,3 Bath,275 m²
68,"€1,150,000","13 Pembroke Cottages, Dundrum, Dundrum, Dublin 14",1 Bath,1 Bath,56 m²
69,"€395,000","155 Vernon Avenue, Clontarf, Clontarf, Dublin 3",107 m²,2 Bath,221 m²
70,"€1,150,000","Apartment 60, Mayeston Crescent, Saint Margaret's Road, Finglas, Dublin 11",3 Bed,2 Bath,71 m²
71,"€225,000","10 Apartments at Corn Mill, Drumcondra, Dublin 3",2 Bath,13 Bath,135 m²
72,Price on Application,"Two Derelict Cottages, Ounavarra, Coldblow, Lucan, Co. Dublin",152 m²,3 Bath,108 m²
73,"AMV: €350,000","2 The Avenue, Cypress Downs, Templeogue, Dublin 6W",4 Bed,1 Bath,70 m²
74,"€1,035,000","1 Marian Drive, Rathfarnham, Dublin 14",3 Bath,2 Bath,84 m²
75,"€585,000","1 Brookvale, Brookvale Road, Dublin 4",132 m²,2 Bath,40 m²
76,"€595,000","Apartment 84, Whatley Hall, Clonee, Dublin 15",4 Bed,3 Bath,147 m²
77,"€260,000","58 Bantry Square, Blanchardstown, Dublin 15",4 Bath,1 Bath,
78,"€345,000","Apartment 186, Skellig Michael, Custom House Harbour Apartments, Dublin 1",232 m²,3 Bath,
79,"€279,000","30 Clonliffe Road (plus Attic Conversion), Drumcondra, Dublin 3",4 Bed,,
80,"€595,000",,3 Bath,,
81,"€360,000","Apartment 61, The Dickens, The Gasworks, Ringsend, Dublin 4",1 Bed,1 Bath,51 m²
82,"€350,000","Daletree View, Ballycullen, Firhouse, Dublin 24",1 Bath,1 Bath,195 m²
83,"€500,000","34 Hollystown Park, Hollystown, Hollystown, Dublin 15",51 m²,3 Bath,44 m²
84,"€220,000","10 Fernleigh Crescent, Castleknock, Castleknock, Dublin 15",2 Bed,1 Bath,110 m²
85,"€750,000","81 The Elms, Mount Merrion Avenue, Blackrock, Co. Dublin",1 Bath,2 Bath,134 m²
86,"€775,000","29 Carysfort Woods, Blackrock, Co. Dublin",4 Bed,2 Bath,46 m²
87,"€290,000","Apartment 2, Block B1, The Bottle Works, Ringsend, Dublin 4",3 Bath,1 Bath,192 m²
88,"€950,000","9 Brehons Chair, Kellystown Road, Rathfarnham, Dublin 14",195 m²,2 Bath,62 m²
89,"€245,000","11 Windmill Court, Clonsilla, Dublin 15",1 Bed,2 Bath,69 m²
90,"€495,000","47 Eden Villas, Glasthule, Co. Dublin",1 Bath,2 Bath,46 m²
91,"€260,000","Apartment 13, Madison House, Rathgar, Dublin 6",44 m²,1 Bath,182 m²
92,ONE HOUSE ONLY REMAINING - LUXURY LIVING ON THE BANKS OF THE LIFFEY,"588 Howth Road, Raheny, Raheny, Dublin 5",3 Bed,3 Bath,174 m²
93,"€780,000","8 Castelmoyne, Balgriffin, Dublin 13",2 Bath,4 Bath,68 m²
94,"€549,000","69 Kirkpatrick House, Spencer Dock, IFSC, Co. Dublin",110 m²,2 Bath,170 m²
95,"€395,000","6 Glaunsharoon, Eglinton Road, Donnybrook, Dublin 4",4 Bed,4 Bath,78 m²
96,"€1,250,000","3 Northbrook Terrace, North Strand, North Strand, Dublin 3",2 Bath,1 Bath,64 m²
97,All properties are now sold. ,"12 Rialto Street, Rialto, Dublin 8",134 m²,1 Bath,
98,"€295,000","2 Latchford Park, Clonee, Dublin 15",1 Bed,3 Bath,
99,"€347,500",,1 Bath,,
100,"€375,000",,46 m²,,
101,Price on Application,"113 Phibsborough Road, Phibsborough, Dublin 7",49 ac,2 Bath,49 ac
102,"€1,695,000","77 Ranelagh Road, Ranelagh, Dublin 6",3 Bed,2 Bath,228 m²
103,"€635,000","11 Ramleh Hall, Mount St Annes, Milltown, Dublin 6",2 Bath,1 Bath,104 m²
104,"€525,000","35 Merrion Strand, Sandymount, Dublin 4",228 m²,1 Bath,62 m²
105,"€425,000","39 South Dock Street, Ringsend, Dublin 4",2 Bed,1 Bath,57 m²
106,"€275,000","11 Kearns Place, Kilmainham, Dublin 8",2 Bath,2 Bath,59 m²
107,"€285,000","21 Belfry Grove, Citywest, Citywest, Co. Dublin",104 m²,1 Bath,70 m²
108,"€315,000","28 Devoy Road, Inchicore, Inchicore, Dublin 8",2 Bed,2 Bath,0.04 ac
109,"€295,000","Site to rear of 176 Botanic Road, Glasnevin, Dublin 9",1 Bath,4 Bath,106 m²
110,"€695,000","4 Adrian Avenue, Harold's Cross, Dublin 6W",62 m²,4 Bath,180 m²
111,"€850,000","2 Limekiln Manor, Limekiln Road, Walkinstown, Dublin 12",2 Bed,1 Bath,250 m²
112,"€950,000","Apartment 419, Block 3/4, Gracepark Manor, Drumcondra, Dublin 9",1 Bath,2 Bath,56 m²
113,"€305,000","14 Merchant Square, East Wall, East Wall, Dublin 3",57 m²,2 Bath,175 m²
114,"€1,250,000","3 Stoney Road, Dundrum, Dundrum, Dublin 14",2 Bed,1 Bath,82 m²
115,"€275,000","Apartment 162, Burnell Square, Mayne River Way, Clarehall, Dublin 13",1 Bath,1 Bath,55 m²
116,"€320,000","Apartment 1, Waveney House, Howth, Dublin 13",59 m²,4 Bath,90 m²
117,"€595,000","19 Woodlawn Grove, Churchtown, Dublin 14",3 Bed,1 Bath,341 m²
118,"€4,250,000","Glenmore, 63 Orwell Park, Rathgar, Dublin 6",2 Bath,1 Bath,42 m²
119,"€325,000","7 Morehampton Square, Donnybrook, Donnybrook, Dublin 4",3 Bed,,63 m²
120,"€350,000","12 Susanville Road, Drumcondra, Dublin 3",1 Bath,,
121,"€395,000","103 Ceannt Fort, Kilmainham, Dublin 8",2 Bed,1 Bath,73 m²
122,"€295,000","6 Cameron Street, Cork Street, Dublin 8",1 Bath,2 Bath,60 m²
123,"€450,000","78 Aughrim Street, Stoneybatter, Dublin 7",73 m²,2 Bath,95 m²
124,"€310,000","71 Saint Jarlath Road, Cabra, Cabra, Dublin 7",2 Bed,1 Bath,57 m²
125,"€395,000","4 Knightswood, Santry, Santry, Dublin 9",2 Bath,3 Bath,46 m²
126,"€295,000","153 Pugin House, Loreto Abbey, Rathfarnham, Dublin 14",60 m²,1 Bath,92 m²
127,"€450,000","43 Montpelier Gardens D07E205, Dublin 7",2 Bed,2 Bath,88 m²
128,"€450,000","30 Montpelier Hill, Arbour Hill, Dublin 7",2 Bath,1 Bath,195 m²
129,"AMV: €300,000","Apartment 210, Ivy Exchange, Dublin 1",95 m²,1 Bath,655 m²
